categoryId	categoryName	lPath
223717	서점	||쇼핑,유통||도서,음반,문구||서점
223724	스포츠용품	||쇼핑,유통||취미,레저용품||스포츠용품
223725	레저,여행용품	||쇼핑,유통||취미,레저용품||레저,여행용품
223726	오토바이	||쇼핑,유통||취미,레저용품||오토바이
223727	자전거	||쇼핑,유통||취미,레저용품||자전거
223728	장난감	||쇼핑,유통||취미,레저용품||장난감
223729	수집	||쇼핑,유통||취미,레저용품||수집
223730	악기	||쇼핑,유통||취미,레저용품||악기
223731	이벤트,파티	||쇼핑,유통||취미,레저용품||이벤트,파티
223732	원예,화훼농원	||쇼핑,유통||취미,레저용품||원예,화훼농원
223755	전시,판매	||쇼핑,유통||자동차||전시,판매
223756	자동차부품	||쇼핑,유통||자동차||자동차부품
223760	시트,매트,쿠션	||쇼핑,유통||자동차||시트,매트,쿠션
223761	엔진오일	||쇼핑,유통||자동차||엔진오일
224217	침대	||쇼핑,유통||가구,인테리어||가구||침대
224220	맞춤가구	||쇼핑,유통||가구,인테리어||가구||맞춤가구
224221	어린이가구	||쇼핑,유통||가구,인테리어||가구||어린이가구
224222	사무용가구	||쇼핑,유통||가구,인테리어||가구||사무용가구
224223	의자	||쇼핑,유통||가구,인테리어||가구||의자
224226	소파	||쇼핑,유통||가구,인테리어||가구||소파
224230	수입가구	||쇼핑,유통||가구,인테리어||가구||수입가구
224252	침구류,직물	||쇼핑,유통||가구,인테리어||침구,커튼||침구류,직물
224302	아동도서	||쇼핑,유통||도서,음반,문구||서점||아동도서
224333	골프용품	||쇼핑,유통||취미,레저용품||스포츠용품||골프용품
224355	수영용품	||쇼핑,유통||취미,레저용품||스포츠용품||수영용품
224359	헬스용품	||쇼핑,유통||취미,레저용품||스포츠용품||헬스용품
224380	캠핑용품	||쇼핑,유통||취미,레저용품||레저,여행용품||캠핑용품
224393	수입오토바이	||쇼핑,유통||취미,레저용품||오토바이||수입오토바이
224404	블록	||쇼핑,유통||취미,레저용품||장난감||블록
224412	모형	||쇼핑,유통||취미,레저용품||장난감||모형
224456	수입,외제차	||쇼핑,유통||자동차||전시,판매||수입,외제차
224457	중고차	||쇼핑,유통||자동차||전시,판매||중고차
224592	요리교육	||교육,학문||학원 등 교습시설||요리교육
224623	미용기기,재료	||쇼핑,유통||미용기기,재료
224777	수학교육	||교육,학문||학원 등 교습시설||교습학원,교습소||수학교육
224856	부동산	||협회,단체||부동산
224857	광고,마케팅	||협회,단체||광고,마케팅
224862	교육,학교	||협회,단체||교육,학교
224864	종교	||협회,단체||종교
224869	교통,자동차	||협회,단체||교통,자동차
224872	레저,스포츠	||협회,단체||레저,스포츠
224904	화장품,미용	||협회,단체||서비스,산업||화장품,미용
224929	교수,교사단체	||협회,단체||교육,학교||교수,교사단체
225007	배구	||협회,단체||레저,스포츠||배구
225009	야구	||협회,단체||레저,스포츠||야구
225010	축구	||협회,단체||레저,스포츠||축구
225034	생활체육	||협회,단체||레저,스포츠||생활체육
225117	제조업	||서비스,산업||제조업
225121	부동산	||서비스,산업||부동산
225167	식료품제조	||서비스,산업||제조업||식료품제조
225168	담배제조	||서비스,산업||제조업||담배제조
225169	섬유제품제조	||서비스,산업||제조업||섬유제품제조
225170	의류제작	||서비스,산업||제조업||의류제작
225171	제재,목재가공	||서비스,산업||제조업||제재,목재가공
225172	펄프,종이제조	||서비스,산업||제조업||펄프,종이제조
225173	인쇄,기록매체복제	||서비스,산업||제조업||인쇄,기록매체복제
225174	코크스,연탄,석유정제품제조	||서비스,산업||제조업||코크스,연탄,석유정제품제조
225175	화학물질,제품제조	||서비스,산업||제조업||화학물질,제품제조
225177	의료용품,기기제조	||서비스,산업||제조업||의료용품,기기제조
225178	고무제품제조	||서비스,산업||제조업||고무제품제조
225179	플라스틱제품제조	||서비스,산업||제조업||플라스틱제품제조
225180	비금속광물제품제조	||서비스,산업||제조업||비금속광물제품제조
225181	1차금속제조	||서비스,산업||제조업||1차금속제조
225182	금속가공제품제조	||서비스,산업||제조업||금속가공제품제조
225183	전자,전기	||서비스,산업||제조업||전자,전기
225184	영상,음향기기제조	||서비스,산업||제조업||영상,음향기기제조
