서비스기간,,,3일(최소구동일자),히든 접수시트,,,,,,,,,,,,
AS,,,AS 불가,,,,,,,,,,,,,
당일 구동 오픈시간,,,오후 1시까지,주말 등록 x    ,,,,,,,,,,,,
익일 구동 오픈시간,,,오후 7시까지,,,,,,,,,,,,,
작성일,시작일,종료일,메인 키워드,플레이스명,"전체참여인원
(입력X)",일 참여인원,"일 수
(입력X)",플레이스URL,MID,상품종류선택,공란,금액(35원),금액(부포),"정산유무
(입력x)","정산유무
(입력x)",비고
2025-12-31,2026-01-01,2026-01-07,마산 맛집,히도 카츠 합포구직영점,"2,800",400,7,https://m.place.naver.com/restaurant/2099188087/home,2099188087,,,"₩98,000","₩107,800",정산완료,등록완료,
,,,,,0,,1,,,,,₩0,₩0,정산대기,등록대기,
2026-01-02,2026-01-03,2026-01-09,구래동 맛집,뻥쟁이네 구래동점,"2,450",350,7,https://m.place.naver.com/restaurant/1029063503,1029063503,,,"₩85,750","₩94,325",정산완료,등록완료,
2026-01-02,2026-01-03,2026-01-09,신중동역 술집,야키토리 리을리을,"1,400",200,7,https://m.place.naver.com/restaurant/1814512864/home,1814512864,,,"₩49,000","₩53,900",정산완료,등록완료,
2026-01-02,2026-01-03,2026-01-09,구래동 맛집,초이스테판 김포구래,"1,400",200,7,https://m.place.naver.com/place/1029063503,1864889927,,,"₩49,000","₩53,900",정산완료,등록완료,
2026-01-02,2026-01-03,2026-01-09,역곡역 맛집,뻥쟁이네 역곡점,"1,400",200,7,https://m.place.naver.com/place/1091056146,1091056146,,,"₩49,000","₩53,900",정산완료,등록완료,
2026-01-02,2026-01-03,2026-01-09,부천역 맛집,뻥쟁이네 부천남부역점,"1,400",200,7,https://m.place.naver.com/restaurant/1029063503,36536114,,,"₩49,000","₩53,900",정산완료,등록완료,
2026-01-02,2026-01-03,2026-01-09,홍대술집,한월 홍대,"1,400",200,7,https://m.place.naver.com/restaurant/1165597556/home,1165597556,,,"₩49,000","₩53,900",정산완료,등록완료,
2026-01-02,2026-01-03,2026-01-09,천호 맛집,메종 드 플레터 스타시티 서울 레스토랑,"2,800",400,7,https://m.place.naver.com/restaurant/267802526/home?entry=pll,267802526,,,"₩98,000","₩107,800",정산완료,등록완료,
2026-01-02,2026-01-03,2026-01-09,대학로 고기집,거복이식당 대학로,"2,100",300,7,https://m.place.naver.com/restaurant/2038302317/home,2038302317,,,"₩73,500","₩80,850",정산완료,등록완료,
2026-01-02,2026-01-03,2026-01-09,회기 맛집,거복이식당 회기 본점,"2,100",300,7,https://m.place.naver.com/restaurant/1770334939/home,1770334939,,,"₩73,500","₩80,850",정산완료,등록완료,
2026-01-02,2026-01-03,2026-01-09,청천동 맛집,오봉집 청천산곡점,"2,100",300,7,https://m.place.naver.com/restaurant/1249534579/home,1249534579,,,"₩73,500","₩80,850",정산완료,등록완료,
,,,,,0,,1,,,,,₩0,₩0,정산대기,등록대기,
2026-01-05,2026-01-06,2026-01-13,마산 맛집,히도,"2,400",400,6,https://m.place.naver.com/place/1768171911/home,1768171911,,,"₩84,000","₩92,400",정산대기,등록완료,
,,,,,0,,1,,,,,₩0,₩0,정산대기,등록대기,
1/7,2026-01-08,2026-01-14,남양주 카페,후탄,"2,100",300,7,https://m.place.naver.com/place/1138528583/home,1138528583,,,"₩73,500","₩80,850",정산대기,등록완료,
1/7,2026-01-08,2026-01-14,신동 맛집,오월의꽃수저 신동카페거리점,"1,050",150,7,https://m.place.naver.com/restaurant/2064392403/home,2064392403,,,"₩36,750","₩40,425",정산대기,등록완료,
1/7,2026-01-08,2026-01-14,천북굴단지,천북굴단지 훈이네굴수산,"2,800",400,7,https://m.place.naver.com/restaurant/1997864570/home,1997864570,,,"₩98,000","₩107,800",정산대기,등록완료,
1/7,2026-01-08,2026-01-14,동대문 맛집,Projec D,"2,800",400,7,https://m.place.naver.com/place/36073217,36073217,,,"₩98,000","₩107,800",정산대기,등록완료,
,,,,,0,,1,,,,,₩0,₩0,정산대기,등록대기,
2026-01-09,2026-01-10,2026-01-16,구래동 맛집,뻥쟁이네 구래동점,"2,800",400,7,https://m.place.naver.com/restaurant/1029063503,1029063503,,,"₩98,000","₩107,800",정산대기,등록완료,
2026-01-09,2026-01-10,2026-01-16,구래동 맛집,초이스테판 김포구래,"1,400",200,7,https://m.place.naver.com/place/1029063503,1864889927,,,"₩49,000","₩53,900",정산대기,등록완료,
2026-01-09,2026-01-10,2026-01-16,역곡역 맛집,뻥쟁이네 역곡점,"1,400",200,7,https://m.place.naver.com/place/1091056146,1091056146,,,"₩49,000","₩53,900",정산대기,등록완료,
2026-01-09,2026-01-10,2026-01-16,홍대술집,한월 홍대,"2,800",400,7,https://m.place.naver.com/restaurant/1165597556/home,1165597556,,,"₩98,000","₩107,800",정산대기,등록완료,
2026-01-09,2026-01-10,2026-01-16,대학로 고기집,거복이식당 대학로,"2,100",300,7,https://m.place.naver.com/restaurant/2038302317/home,2038302317,,,"₩73,500","₩80,850",정산대기,등록완료,
2026-01-09,2026-01-10,2026-01-16,회기 맛집,거복이식당 회기 본점,"2,100",300,7,https://m.place.naver.com/restaurant/1770334939/home,1770334939,,,"₩73,500","₩80,850",정산대기,등록완료,
,,,,,0,,1,,,,,₩0,₩0,정산대기,등록대기,
,,,,,0,,1,,,,,₩0,₩0,정산대기,등록대기,
,,,,,0,,1,,,,,₩0,₩0,정산대기,등록대기,
,,,,,0,,1,,,,,₩0,₩0,정산대기,등록대기,
,,,,,0,,1,,,,,₩0,₩0,정산대기,등록대기,
,,,,,0,,1,,,,,₩0,₩0,정산대기,등록대기,
,,,,,0,,1,,,,,₩0,₩0,정산대기,등록대기,
,,,,,0,,1,,,,,₩0,₩0,정산대기,등록대기,
,,,,,0,,1,,,,,₩0,₩0,정산대기,등록대기,
,,,,,0,,1,,,,,₩0,₩0,정산대기,등록대기,
,,,,,0,,1,,,,,₩0,₩0,정산대기,등록대기,
,,,,,0,,1,,,,,₩0,₩0,정산대기,등록대기,
,,,,,0,,1,,,,,₩0,₩0,정산대기,등록대기,
,,,,,0,,1,,,,,₩0,₩0,정산대기,등록대기,
,,,,,0,,1,,,,,₩0,₩0,정산대기,등록대기,
,,,,,0,,1,,,,,₩0,₩0,정산대기,등록대기,
,,,,,0,,1,,,,,₩0,₩0,정산대기,등록대기,
,,,,,0,,1,,,,,₩0,₩0,정산대기,등록대기,
,,,,,0,,1,,,,,₩0,₩0,정산대기,등록대기,
,,,,,0,,1,,,,,₩0,₩0,정산대기,등록대기,
,,,,,0,,1,,,,,₩0,₩0,정산대기,등록대기,
,,,,,0,,1,,,,,₩0,₩0,정산대기,등록대기,
,,,,,0,,1,,,,,₩0,₩0,정산대기,등록대기,
,,,,,0,,1,,,,,₩0,₩0,정산대기,등록대기,
,,,,,0,,1,,,,,₩0,₩0,정산대기,등록대기,
